주문번호,거래일자,고객코드
O00001,2019-01-02,C0032
O00002,2019-01-03,C0038
O00003,2019-01-03,C0026
O00004,2019-01-04,C0037
O00005,2019-01-04,C0014
O00006,2019-01-05,C0040
O00007,2019-01-09,C0046
O00008,2019-01-10,C0036
O00009,2019-01-10,C0017
O00010,2019-01-11,C0048
O00011,2019-01-11,C0017
O00012,2019-01-12,C0020
O00013,2019-01-12,C0042
O00014,2019-01-14,C0010
O00015,2019-01-14,C0030
O00016,2019-01-14,C0039
O00017,2019-01-15,C0039
O00018,2019-01-18,C0042
O00019,2019-01-18,C0025
O00020,2019-01-22,C0018
O00021,2019-01-23,C0047
O00022,2019-01-23,C0031
O00023,2019-01-25,C0032
O00024,2019-01-26,C0048
O00025,2019-01-26,C0005
O00026,2019-01-27,C0036
O00027,2019-01-27,C0020
O00028,2019-01-28,C0010
O00029,2019-01-30,C0037
O00030,2019-01-30,C0016
O00031,2019-02-02,C0041
O00032,2019-02-04,C0034
O00033,2019-02-05,C0025
O00034,2019-02-07,C0045
O00035,2019-02-08,C0049
O00036,2019-02-09,C0010
O00037,2019-02-10,C0006
O00038,2019-02-10,C0036
O00039,2019-02-13,C0017
O00040,2019-02-13,C0001
O00041,2019-02-14,C0003
O00042,2019-02-14,C0023
O00043,2019-02-14,C0028
O00044,2019-02-14,C0001
O00045,2019-02-17,C0015
O00046,2019-02-17,C0023
O00047,2019-02-17,C0026
O00048,2019-02-23,C0022
O00049,2019-02-24,C0027
O00050,2019-02-25,C0047
O00051,2019-02-27,C0036
O00052,2019-02-27,C0018
O00053,2019-02-28,C0012
O00054,2019-03-01,C0047
O00055,2019-03-01,C0049
O00056,2019-03-01,C0016
O00057,2019-03-03,C0004
O00058,2019-03-04,C0031
O00059,2019-03-05,C0031
O00060,2019-03-05,C0015
O00061,2019-03-06,C0014
O00062,2019-03-07,C0043
O00063,2019-03-08,C0049
O00064,2019-03-08,C0030
O00065,2019-03-10,C0011
O00066,2019-03-10,C0015
O00067,2019-03-12,C0005
O00068,2019-03-15,C0044
O00069,2019-03-15,C0021
O00070,2019-03-17,C0007
O00071,2019-03-18,C0029
O00072,2019-03-19,C0020
O00073,2019-03-19,C0038
O00074,2019-03-20,C0028
O00075,2019-03-20,C0042
O00076,2019-03-22,C0050
O00077,2019-03-23,C0043
O00078,2019-03-23,C0022
O00079,2019-03-24,C0011
O00080,2019-03-25,C0002
O00081,2019-03-25,C0021
O00082,2019-03-25,C0024
O00083,2019-03-30,C0040
O00084,2019-04-02,C0019
O00085,2019-04-02,C0044
O00086,2019-04-03,C0025
O00087,2019-04-04,C0009
O00088,2019-04-04,C0046
O00089,2019-04-05,C0048
O00090,2019-04-06,C0007
O00091,2019-04-07,C0027
O00092,2019-04-08,C0048
O00093,2019-04-09,C0013
O00094,2019-04-10,C0040
O00095,2019-04-11,C0023
O00096,2019-04-11,C0035
O00097,2019-04-11,C0018
O00098,2019-04-12,C0001
O00099,2019-04-12,C0003
O00100,2019-04-14,C0016
O00101,2019-04-14,C0037
O00102,2019-04-16,C0033
O00103,2019-04-18,C0031
O00104,2019-04-19,C0015
O00105,2019-04-23,C0001
O00106,2019-04-24,C0019
O00107,2019-04-25,C0028
O00108,2019-04-27,C0032
O00109,2019-04-28,C0034
O00110,2019-04-29,C0036
O00111,2019-04-30,C0024
O00112,2019-04-30,C0023
O00113,2019-04-30,C0008
O00114,2019-05-03,C0001
O00115,2019-05-08,C0005
O00116,2019-05-08,C0028
O00117,2019-05-08,C0044
O00118,2019-05-09,C0031
O00119,2019-05-09,C0034
O00120,2019-05-10,C0044
O00121,2019-05-10,C0006
O00122,2019-05-12,C0023
O00123,2019-05-13,C0023
O00124,2019-05-13,C0016
O00125,2019-05-15,C0006
O00126,2019-05-16,C0024
O00127,2019-05-16,C0009
O00128,2019-05-16,C0050
O00129,2019-05-16,C0028
O00130,2019-05-17,C0025
O00131,2019-05-18,C0042
O00132,2019-05-20,C0002
O00133,2019-05-21,C0005
O00134,2019-05-22,C0007
O00135,2019-05-23,C0020
O00136,2019-05-23,C0030
O00137,2019-05-23,C0044
O00138,2019-05-24,C0035
O00139,2019-05-24,C0050
O00140,2019-05-26,C0036
O00141,2019-05-27,C0038
O00142,2019-05-28,C0008
O00143,2019-05-29,C0010
O00144,2019-05-29,C0033
O00145,2019-05-30,C0027
O00146,2019-05-30,C0037
O00147,2019-06-02,C0038
